run1,blackBLACK,blackGREEN,blueBLUE,bluePURPLE,blueRED,greenGREEN,greenPINK,greenYELLOW,pinkBLACK,pinkPINK,purplePURPLE,purpleRED,purpleWHITE,redRED,redWHITE,whiteBLUE,whiteWHITE,yellowBLACK,yellowPINK,yellowYELLOW
blackBLACK,0,0.5,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,1
blackPINK,0.5,0,0,0,0,0,-1,-0.5,0,-0.5,0,0,0,0,0,0,0,0,-1,0.5
blackYELLOW,0.5,0,0,-0.5,0,0,0,-0.5,0,0,-0.5,0,-0.5,0,0,0,0,0,0,0
blueBLUE,0.5,0,-0.5,0,0,0,0,0,0,0,0,-0.5,0,-0.5,0,-1,0,0,0,0.5
blueWHITE,0.5,0,0,0,0,0,0,0,0,0,0,0,-0.5,0,-1,0,-1,0,0,0.5
greenBLACK,0,0,0,0,0,0,-0.5,-0.5,-0.5,0,0,0,0,0,0,0,0,-0.5,-0.5,0.5
greenGREEN,0.5,-1,0,0,0,-0.5,0,0,-0.5,0,0,0,0,0,0,0,0,0,0,0.5
pinkGREEN,0.5,-0.5,-0.5,0,0,-0.5,0,0,0,-0.5,0,0,0,0,0,0,0,0,0,0
pinkPINK,0,0,0,0,0,-0.5,-0.5,0,0,-0.5,0,0,0,0,0,0,0,0,-0.5,0.5
pinkYELLOW,0.5,-0.5,0,0,0,0,0,-0.5,-0.5,0,0,0,0,0,0,0,0,0,0,0
purpleBLUE,0.5,0,-0.5,0,0,0,0,0,0,0,0,-0.5,0,-0.5,0,-1,0,0,0,0.5
purplePURPLE,0.5,0,0,-0.5,0,0,0,0,0,0,-0.5,0,0,0,-0.5,0,-0.5,0,0,0.5
redBLUE,0.5,0,-0.5,0,-0.5,0,0,0,0,0,0,0,0,0,0,-0.5,0,-0.5,0,0.5
redPURPLE,0.5,0,0,-0.5,0,0,0,0,0,0,-0.5,0,0,0,-0.5,0,-0.5,0,0,0.5
redRED,0.5,0,0,0,-1,0,0,0,0,0,0,-0.5,0,-0.5,0,0,0,-0.5,0,0.5
whitePURPLE,0.5,0,0,-1,0,0,0,0,0,0,-1,0,-0.5,0,0,0,0,0,0,0.5
whiteRED,0.5,0,0,0,-1,0,0,0,0,0,0,-0.5,0,-0.5,0,0,0,-0.5,0,0.5
whiteWHITE,0,0,0,0,0,-0.5,0,0,0,0,0,0,-0.5,0,-0.5,0,-0.5,0,0,0.5
yellowGREEN,0.5,-1,0,0,0,-0.5,0,0,-0.5,0,0,0,0,0,0,0,0,0,0,0.5
yellowYELLOW,1,0.5,0,0.5,0.5,0.5,0.5,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0
