run1,blackBLACK,blackGREEN,greenGREEN,greenPINK,greenYELLOW,pinkBLACK,pinkPINK,yellowBLACK,yellowPINK,yellowYELLOW
blackBLACK,0,0.5,0.5,0,0.5,0,1,0,0.5,1
blackPINK,0.5,0,0,-0.5,-0.5,-0.5,0,0,-1,0.5
blackYELLOW,0.5,0,0,0,-1,-0.5,0.5,0,-0.5,0
greenBLACK,0,-0.5,0,0,0,-0.5,0,-0.5,0,0.5
greenGREEN,0.5,-0.5,-1,0,0,0,0.5,-0.5,0,0
pinkGREEN,0,-0.5,-0.5,-0.5,0,0,0.5,0,0,0.5
pinkPINK,1,0,0.5,0,0.5,0.5,0,0.5,0,1
pinkYELLOW,0,0,0,-0.5,-0.5,0,0.5,0,0,0
yellowGREEN,0.5,-1,-0.5,0,0,0,0,0,0,0.5
yellowYELLOW,1,0.5,0,0.5,0,0.5,1,0,0.5,0
